Using device: cuda
[Seed 0] Epoch 001/100 | train_loss=0.4831 | val_loss=0.3321 | val_acc=0.8821
[Seed 0] Epoch 002/100 | train_loss=0.3010 | val_loss=0.3005 | val_acc=0.8928
[Seed 0] Epoch 003/100 | train_loss=0.2807 | val_loss=0.2866 | val_acc=0.8980
[Seed 0] Epoch 004/100 | train_loss=0.2671 | val_loss=0.2831 | val_acc=0.8988
[Seed 0] Epoch 005/100 | train_loss=0.2582 | val_loss=0.2730 | val_acc=0.9032
[Seed 0] Epoch 006/100 | train_loss=0.2512 | val_loss=0.2737 | val_acc=0.9013
[Seed 0] Epoch 007/100 | train_loss=0.2451 | val_loss=0.2646 | val_acc=0.9055
[Seed 0] Epoch 008/100 | train_loss=0.2384 | val_loss=0.2638 | val_acc=0.9063
[Seed 0] Epoch 009/100 | train_loss=0.2334 | val_loss=0.2583 | val_acc=0.9075
[Seed 0] Epoch 010/100 | train_loss=0.2293 | val_loss=0.2542 | val_acc=0.9109
[Seed 0] Epoch 011/100 | train_loss=0.2243 | val_loss=0.2517 | val_acc=0.9107
[Seed 0] Epoch 012/100 | train_loss=0.2208 | val_loss=0.2498 | val_acc=0.9126
[Seed 0] Epoch 013/100 | train_loss=0.2166 | val_loss=0.2480 | val_acc=0.9124
[Seed 0] Epoch 014/100 | train_loss=0.2111 | val_loss=0.2458 | val_acc=0.9137
[Seed 0] Epoch 015/100 | train_loss=0.2078 | val_loss=0.2425 | val_acc=0.9133
[Seed 0] Epoch 016/100 | train_loss=0.2033 | val_loss=0.2401 | val_acc=0.9153
[Seed 0] Epoch 017/100 | train_loss=0.1992 | val_loss=0.2402 | val_acc=0.9139
[Seed 0] Epoch 018/100 | train_loss=0.1974 | val_loss=0.2382 | val_acc=0.9167
[Seed 0] Epoch 019/100 | train_loss=0.1924 | val_loss=0.2419 | val_acc=0.9172
[Seed 0] Epoch 020/100 | train_loss=0.1887 | val_loss=0.2359 | val_acc=0.9163
[Seed 0] Epoch 021/100 | train_loss=0.1848 | val_loss=0.2345 | val_acc=0.9170
[Seed 0] Epoch 022/100 | train_loss=0.1804 | val_loss=0.2329 | val_acc=0.9186
[Seed 0] Epoch 023/100 | train_loss=0.1770 | val_loss=0.2323 | val_acc=0.9162
[Seed 0] Epoch 024/100 | train_loss=0.1741 | val_loss=0.2328 | val_acc=0.9184
[Seed 0] Epoch 025/100 | train_loss=0.1719 | val_loss=0.2291 | val_acc=0.9186
[Seed 0] Epoch 026/100 | train_loss=0.1678 | val_loss=0.2298 | val_acc=0.9199
