Using device: cuda
[Seed 0] Epoch 001/100 | train_loss=0.4519 | val_loss=0.3269 | val_acc=0.8804
[Seed 0] Epoch 002/100 | train_loss=0.2835 | val_loss=0.2979 | val_acc=0.8926
[Seed 0] Epoch 003/100 | train_loss=0.2576 | val_loss=0.2933 | val_acc=0.8980
[Seed 0] Epoch 004/100 | train_loss=0.2364 | val_loss=0.2508 | val_acc=0.9124
[Seed 0] Epoch 005/100 | train_loss=0.2177 | val_loss=0.2493 | val_acc=0.9108
[Seed 0] Epoch 006/100 | train_loss=0.2049 | val_loss=0.2520 | val_acc=0.9107
[Seed 0] Epoch 007/100 | train_loss=0.1887 | val_loss=0.2629 | val_acc=0.9122
[Seed 0] Epoch 008/100 | train_loss=0.1754 | val_loss=0.2474 | val_acc=0.9153
[Seed 0] Epoch 009/100 | train_loss=0.1579 | val_loss=0.2646 | val_acc=0.9128
[Seed 0] Epoch 010/100 | train_loss=0.1482 | val_loss=0.2546 | val_acc=0.9150
[Seed 0] Epoch 011/100 | train_loss=0.1331 | val_loss=0.2654 | val_acc=0.9150
[Seed 0] Epoch 012/100 | train_loss=0.1221 | val_loss=0.2698 | val_acc=0.9125
[Seed 0] Epoch 013/100 | train_loss=0.1108 | val_loss=0.3025 | val_acc=0.9095
[Seed 0] Epoch 014/100 | train_loss=0.1017 | val_loss=0.2849 | val_acc=0.9133
[Seed 0] Epoch 015/100 | train_loss=0.0887 | val_loss=0.3145 | val_acc=0.9117
[Seed 0] Epoch 016/100 | train_loss=0.0816 | val_loss=0.3220 | val_acc=0.9117
[Seed 0] Epoch 017/100 | train_loss=0.0724 | val_loss=0.3289 | val_acc=0.9134
[Seed 0] Epoch 018/100 | train_loss=0.0684 | val_loss=0.3497 | val_acc=0.9107
[Seed 0] Epoch 019/100 | train_loss=0.0625 | val_loss=0.3476 | val_acc=0.9121
[Seed 0] Epoch 020/100 | train_loss=0.0549 | val_loss=0.3539 | val_acc=0.9093
[Seed 0] Epoch 021/100 | train_loss=0.0512 | val_loss=0.3753 | val_acc=0.9129
[Seed 0] Epoch 022/100 | train_loss=0.0480 | val_loss=0.4093 | val_acc=0.9083
[Seed 0] Epoch 023/100 | train_loss=0.0431 | val_loss=0.4277 | val_acc=0.9084
[Seed 0] Epoch 024/100 | train_loss=0.0409 | val_loss=0.4060 | val_acc=0.9125
[Seed 0] Epoch 025/100 | train_loss=0.0374 | val_loss=0.4246 | val_acc=0.9109
[Seed 0] Epoch 026/100 | train_loss=0.0351 | val_loss=0.4565 | val_acc=0.9037
[Seed 0] Epoch 027/100 | train_loss=0.0325 | val_loss=0.4357 | val_acc=0.9122
[Seed 0] Epoch 028/100 | train_loss=0.0296 | val_loss=0.4451 | val_acc=0.9146
[Seed 0] Epoch 029/100 | train_loss=0.0292 | val_loss=0.4673 | val_acc=0.9108
[Seed 0] Epoch 030/100 | train_loss=0.0287 | val_loss=0.4680 | val_acc=0.9132
[Seed 0] Epoch 031/100 | train_loss=0.0235 | val_loss=0.4801 | val_acc=0.9117
[Seed 0] Epoch 032/100 | train_loss=0.0258 | val_loss=0.4447 | val_acc=0.9146
[Seed 0] Epoch 033/100 | train_loss=0.0260 | val_loss=0.4749 | val_acc=0.9118
[Seed 0] Epoch 034/100 | train_loss=0.0219 | val_loss=0.4778 | val_acc=0.9130
[Seed 0] Epoch 035/100 | train_loss=0.0174 | val_loss=0.5093 | val_acc=0.9128
[Seed 0] Epoch 036/100 | train_loss=0.0218 | val_loss=0.4881 | val_acc=0.9147
[Seed 0] Epoch 037/100 | train_loss=0.0187 | val_loss=0.4743 | val_acc=0.9158
[Seed 0] Epoch 038/100 | train_loss=0.0228 | val_loss=0.4859 | val_acc=0.9101
[Seed 0] Epoch 039/100 | train_loss=0.0160 | val_loss=0.4997 | val_acc=0.9164
[Seed 0] Epoch 040/100 | train_loss=0.0155 | val_loss=0.5244 | val_acc=0.9155
[Seed 0] Epoch 041/100 | train_loss=0.0124 | val_loss=0.5357 | val_acc=0.9155
[Seed 0] Epoch 042/100 | train_loss=0.0145 | val_loss=0.5202 | val_acc=0.9149
[Seed 0] Epoch 043/100 | train_loss=0.0147 | val_loss=0.5525 | val_acc=0.9108
[Seed 0] Epoch 044/100 | train_loss=0.0138 | val_loss=0.5522 | val_acc=0.9120
[Seed 0] Epoch 045/100 | train_loss=0.0133 | val_loss=0.5395 | val_acc=0.9129
[Seed 0] Epoch 046/100 | train_loss=0.0138 | val_loss=0.5145 | val_acc=0.9108
[Seed 0] Epoch 047/100 | train_loss=0.0118 | val_loss=0.5217 | val_acc=0.9133
[Seed 0] Epoch 048/100 | train_loss=0.0110 | val_loss=0.5434 | val_acc=0.9153
[Seed 0] Epoch 049/100 | train_loss=0.0106 | val_loss=0.5416 | val_acc=0.9155
[Seed 0] Epoch 050/100 | train_loss=0.0079 | val_loss=0.5748 | val_acc=0.9167
[Seed 0] Epoch 051/100 | train_loss=0.0083 | val_loss=0.5419 | val_acc=0.9159
[Seed 0] Epoch 052/100 | train_loss=0.0071 | val_loss=0.5629 | val_acc=0.9163
[Seed 0] Epoch 053/100 | train_loss=0.0069 | val_loss=0.5956 | val_acc=0.9151
[Seed 0] Epoch 054/100 | train_loss=0.0094 | val_loss=0.5805 | val_acc=0.9163
[Seed 0] Epoch 055/100 | train_loss=0.0078 | val_loss=0.5857 | val_acc=0.9146
[Seed 0] Epoch 056/100 | train_loss=0.0060 | val_loss=0.5854 | val_acc=0.9168
[Seed 0] Epoch 057/100 | train_loss=0.0058 | val_loss=0.5793 | val_acc=0.9167
[Seed 0] Epoch 058/100 | train_loss=0.0076 | val_loss=0.5903 | val_acc=0.9179
[Seed 0] Epoch 059/100 | train_loss=0.0064 | val_loss=0.5772 | val_acc=0.9157
[Seed 0] Epoch 060/100 | train_loss=0.0064 | val_loss=0.5729 | val_acc=0.9187
[Seed 0] Epoch 061/100 | train_loss=0.0046 | val_loss=0.6087 | val_acc=0.9157
[Seed 0] Epoch 062/100 | train_loss=0.0058 | val_loss=0.5912 | val_acc=0.9167
[Seed 0] Epoch 063/100 | train_loss=0.0043 | val_loss=0.5957 | val_acc=0.9162
[Seed 0] Epoch 064/100 | train_loss=0.0050 | val_loss=0.6158 | val_acc=0.9183
[Seed 0] Epoch 065/100 | train_loss=0.0038 | val_loss=0.6150 | val_acc=0.9179
[Seed 0] Epoch 066/100 | train_loss=0.0038 | val_loss=0.6085 | val_acc=0.9166
[Seed 0] Epoch 067/100 | train_loss=0.0034 | val_loss=0.6077 | val_acc=0.9162
[Seed 0] Epoch 068/100 | train_loss=0.0035 | val_loss=0.6108 | val_acc=0.9182
[Seed 0] Epoch 069/100 | train_loss=0.0031 | val_loss=0.6255 | val_acc=0.9154
[Seed 0] Epoch 070/100 | train_loss=0.0031 | val_loss=0.6256 | val_acc=0.9170
[Seed 0] Epoch 071/100 | train_loss=0.0028 | val_loss=0.6220 | val_acc=0.9180
[Seed 0] Epoch 072/100 | train_loss=0.0029 | val_loss=0.6426 | val_acc=0.9163
[Seed 0] Epoch 073/100 | train_loss=0.0024 | val_loss=0.6303 | val_acc=0.9179
[Seed 0] Epoch 074/100 | train_loss=0.0022 | val_loss=0.6370 | val_acc=0.9182
[Seed 0] Epoch 075/100 | train_loss=0.0023 | val_loss=0.6378 | val_acc=0.9180
[Seed 0] Epoch 076/100 | train_loss=0.0025 | val_loss=0.6309 | val_acc=0.9191
[Seed 0] Epoch 077/100 | train_loss=0.0021 | val_loss=0.6328 | val_acc=0.9195
[Seed 0] Epoch 078/100 | train_loss=0.0020 | val_loss=0.6247 | val_acc=0.9195
[Seed 0] Epoch 079/100 | train_loss=0.0020 | val_loss=0.6472 | val_acc=0.9180
[Seed 0] Epoch 080/100 | train_loss=0.0018 | val_loss=0.6358 | val_acc=0.9199
[Seed 0] Epoch 081/100 | train_loss=0.0017 | val_loss=0.6556 | val_acc=0.9175
[Seed 0] Epoch 082/100 | train_loss=0.0017 | val_loss=0.6434 | val_acc=0.9186
[Seed 0] Epoch 083/100 | train_loss=0.0015 | val_loss=0.6465 | val_acc=0.9197
[Seed 0] Epoch 084/100 | train_loss=0.0012 | val_loss=0.6412 | val_acc=0.9179
[Seed 0] Epoch 085/100 | train_loss=0.0015 | val_loss=0.6531 | val_acc=0.9184
[Seed 0] Epoch 086/100 | train_loss=0.0016 | val_loss=0.6551 | val_acc=0.9178
[Seed 0] Epoch 087/100 | train_loss=0.0011 | val_loss=0.6540 | val_acc=0.9183
[Seed 0] Epoch 088/100 | train_loss=0.0013 | val_loss=0.6560 | val_acc=0.9197
[Seed 0] Epoch 089/100 | train_loss=0.0012 | val_loss=0.6560 | val_acc=0.9192
[Seed 0] Epoch 090/100 | train_loss=0.0012 | val_loss=0.6562 | val_acc=0.9186
[Seed 0] Epoch 091/100 | train_loss=0.0012 | val_loss=0.6541 | val_acc=0.9195
[Seed 0] Epoch 092/100 | train_loss=0.0011 | val_loss=0.6562 | val_acc=0.9191
[Seed 0] Epoch 093/100 | train_loss=0.0012 | val_loss=0.6551 | val_acc=0.9184
[Seed 0] Epoch 094/100 | train_loss=0.0011 | val_loss=0.6579 | val_acc=0.9191
[Seed 0] Epoch 095/100 | train_loss=0.0011 | val_loss=0.6527 | val_acc=0.9187
[Seed 0] Epoch 096/100 | train_loss=0.0010 | val_loss=0.6542 | val_acc=0.9187
[Seed 0] Epoch 097/100 | train_loss=0.0011 | val_loss=0.6539 | val_acc=0.9184
[Seed 0] Epoch 098/100 | train_loss=0.0011 | val_loss=0.6541 | val_acc=0.9186
[Seed 0] Epoch 099/100 | train_loss=0.0010 | val_loss=0.6538 | val_acc=0.9187
[Seed 0] Epoch 100/100 | train_loss=0.0010 | val_loss=0.6539 | val_acc=0.9187
Seed 0 finished: best_val=0.9199, time=2.37 min
[Seed 1] Epoch 001/100 | train_loss=0.4452 | val_loss=0.3087 | val_acc=0.8897
[Seed 1] Epoch 002/100 | train_loss=0.2830 | val_loss=0.2776 | val_acc=0.9030
[Seed 1] Epoch 003/100 | train_loss=0.2576 | val_loss=0.2668 | val_acc=0.9047
[Seed 1] Epoch 004/100 | train_loss=0.2368 | val_loss=0.2703 | val_acc=0.9047
[Seed 1] Epoch 005/100 | train_loss=0.2196 | val_loss=0.2619 | val_acc=0.9086
[Seed 1] Epoch 006/100 | train_loss=0.2014 | val_loss=0.2516 | val_acc=0.9105
[Seed 1] Epoch 007/100 | train_loss=0.1884 | val_loss=0.2499 | val_acc=0.9151
[Seed 1] Epoch 008/100 | train_loss=0.1728 | val_loss=0.2543 | val_acc=0.9153
[Seed 1] Epoch 009/100 | train_loss=0.1598 | val_loss=0.2608 | val_acc=0.9126
[Seed 1] Epoch 010/100 | train_loss=0.1438 | val_loss=0.2702 | val_acc=0.9108
[Seed 1] Epoch 011/100 | train_loss=0.1327 | val_loss=0.2728 | val_acc=0.9113
[Seed 1] Epoch 012/100 | train_loss=0.1185 | val_loss=0.2820 | val_acc=0.9134
[Seed 1] Epoch 013/100 | train_loss=0.1053 | val_loss=0.3139 | val_acc=0.9118
[Seed 1] Epoch 014/100 | train_loss=0.0990 | val_loss=0.3559 | val_acc=0.9038
[Seed 1] Epoch 015/100 | train_loss=0.0943 | val_loss=0.3286 | val_acc=0.9097
[Seed 1] Epoch 016/100 | train_loss=0.0819 | val_loss=0.3273 | val_acc=0.9118
